Sample,Sample_name,Sample_id,Stage,Site,Rotation,Replicate,Microhabitat,Rot_Comp,Year,Stage_Rep,Stage_Loc,Stage_Comp,Stage_Rot_Comp,Stage_Rot,Season,Site_year
KIT2W3RHR1,KIT2W3RH,Ki025,T2,Ki,W3,W3a,RH,W3_RH,Y2020,T2_W3a,T2_Ki,T2_RH,T2_W3_RH,T2_W3,Dry,Ki_2020
KIT2W3RHR2,KIT2W3RH,Ki026,T2,Ki,W3,W3b,RH,W3_RH,Y2020,T2_W3b,T2_Ki,T2_RH,T2_W3_RH,T2_W3,Dry,Ki_2020
KIT2W3RHR3,KIT2W3RH,Ki027,T2,Ki,W3,W3c,RH,W3_RH,Y2020,T2_W3c,T2_Ki,T2_RH,T2_W3_RH,T2_W3,Dry,Ki_2020
KIT2W3RHR4,KIT2W3RH,Ki028,T2,Ki,W3,W3d,RH,W3_RH,Y2020,T2_W3d,T2_Ki,T2_RH,T2_W3_RH,T2_W3,Dry,Ki_2020
KIT2W3RPR1,KIT2W3RP,Ki029,T2,Ki,W3,W3a,RP,W3_RP,Y2020,T2_W3a,T2_Ki,T2_RP,T2_W3_RP,T2_W3,Dry,Ki_2020
KIT2W3RPR2,KIT2W3RP,Ki030,T2,Ki,W3,W3b,RP,W3_RP,Y2020,T2_W3b,T2_Ki,T2_RP,T2_W3_RP,T2_W3,Dry,Ki_2020
KIT2W3RPR3,KIT2W3RP,Ki031,T2,Ki,W3,W3c,RP,W3_RP,Y2020,T2_W3c,T2_Ki,T2_RP,T2_W3_RP,T2_W3,Dry,Ki_2020
KIT2W3RPR4,KIT2W3RP,Ki032,T2,Ki,W3,W3d,RP,W3_RP,Y2020,T2_W3d,T2_Ki,T2_RP,T2_W3_RP,T2_W3,Dry,Ki_2020
KIT3W1BSR1,KIT3W1BS,Ki033,T3,Ki,W1,W1a,BS,W1_BS,Y2020,T3_W1a,T3_Ki,T3_BS,T3_W1_BS,T3_W1,Dry,Ki_2020
KIT3W1BSR2,KIT3W1BS,Ki034,T3,Ki,W1,W1b,BS,W1_BS,Y2020,T3_W1b,T3_Ki,T3_BS,T3_W1_BS,T3_W1,Dry,Ki_2020
KIT3W1BSR3,KIT3W1BS,Ki035,T3,Ki,W1,W1c,BS,W1_BS,Y2020,T3_W1c,T3_Ki,T3_BS,T3_W1_BS,T3_W1,Dry,Ki_2020
KIT3W1BSR4,KIT3W1BS,Ki036,T3,Ki,W1,W1d,BS,W1_BS,Y2020,T3_W1d,T3_Ki,T3_BS,T3_W1_BS,T3_W1,Dry,Ki_2020
KIT3W1RAH3,KIT3W1RH,Ki037,T3,Ki,W1,W1a,RH,W1_RH,Y2020,T3_W1a,T3_Ki,T3_RH,T3_W1_RH,T3_W1,Dry,Ki_2020
KIT3W1RAR1,KIT3W1RA,Ki038,T3,Ki,W1,W1b,RA,W1_RA,Y2020,T3_W1b,T3_Ki,T3_RA,T3_W1_RA,T3_W1,Dry,Ki_2020
KIT3W1RAR2,KIT3W1RA,Ki039,T3,Ki,W1,W1c,RA,W1_RA,Y2020,T3_W1c,T3_Ki,T3_RA,T3_W1_RA,T3_W1,Dry,Ki_2020
KIT3W1RAR3,KIT3W1RA,Ki040,T3,Ki,W1,W1d,RA,W1_RA,Y2020,T3_W1d,T3_Ki,T3_RA,T3_W1_RA,T3_W1,Dry,Ki_2020
KIT3W1RAR4,KIT3W1RA,Ki041,T3,Ki,W1,W1a,RA,W1_RA,Y2020,T3_W1a,T3_Ki,T3_RA,T3_W1_RA,T3_W1,Dry,Ki_2020
KIT3W1RHR1,KIT3W1RH,Ki042,T3,Ki,W1,W1b,RH,W1_RH,Y2020,T3_W1b,T3_Ki,T3_RH,T3_W1_RH,T3_W1,Dry,Ki_2020
KIT3W1RHR2,KIT3W1RH,Ki043,T3,Ki,W1,W1c,RH,W1_RH,Y2020,T3_W1c,T3_Ki,T3_RH,T3_W1_RH,T3_W1,Dry,Ki_2020
KIT3W1RHR4,KIT3W1RH,Ki044,T3,Ki,W1,W1d,RH,W1_RH,Y2020,T3_W1d,T3_Ki,T3_RH,T3_W1_RH,T3_W1,Dry,Ki_2020
KIT3W1RPR1,KIT3W1RP,Ki045,T3,Ki,W1,W1a,RP,W1_RP,Y2020,T3_W1a,T3_Ki,T3_RP,T3_W1_RP,T3_W1,Dry,Ki_2020
KIT3W1RPR2,KIT3W1RP,Ki046,T3,Ki,W1,W1b,RP,W1_RP,Y2020,T3_W1b,T3_Ki,T3_RP,T3_W1_RP,T3_W1,Dry,Ki_2020
KIT3W1RPR3,KIT3W1RP,Ki047,T3,Ki,W1,W1c,RP,W1_RP,Y2020,T3_W1c,T3_Ki,T3_RP,T3_W1_RP,T3_W1,Dry,Ki_2020
KIT3W1RPR4,KIT3W1RP,Ki048,T3,Ki,W1,W1d,RP,W1_RP,Y2020,T3_W1d,T3_Ki,T3_RP,T3_W1_RP,T3_W1,Dry,Ki_2020
KIT3W3BSR1,KIT3W3BS,Ki049,T3,Ki,W3,W3a,BS,W3_BS,Y2020,T3_W3a,T3_Ki,T3_BS,T3_W3_BS,T3_W3,Dry,Ki_2020
KIT3W3BSR2,KIT3W3BS,Ki050,T3,Ki,W3,W3b,BS,W3_BS,Y2020,T3_W3b,T3_Ki,T3_BS,T3_W3_BS,T3_W3,Dry,Ki_2020
KIT3W3BSR3,KIT3W3BS,Ki051,T3,Ki,W3,W3c,BS,W3_BS,Y2020,T3_W3c,T3_Ki,T3_BS,T3_W3_BS,T3_W3,Dry,Ki_2020
KIT3W3BSR4,KIT3W3BS,Ki052,T3,Ki,W3,W3d,BS,W3_BS,Y2020,T3_W3d,T3_Ki,T3_BS,T3_W3_BS,T3_W3,Dry,Ki_2020
KIT3W3RAR1,KIT3W3RA,Ki053,T3,Ki,W3,W3a,RA,W3_RA,Y2020,T3_W3a,T3_Ki,T3_RA,T3_W3_RA,T3_W3,Dry,Ki_2020
KIT3W3RAR2,KIT3W3RA,Ki054,T3,Ki,W3,W3b,RA,W3_RA,Y2020,T3_W3b,T3_Ki,T3_RA,T3_W3_RA,T3_W3,Dry,Ki_2020
KIT3W3RAR3,KIT3W3RA,Ki055,T3,Ki,W3,W3c,RA,W3_RA,Y2020,T3_W3c,T3_Ki,T3_RA,T3_W3_RA,T3_W3,Dry,Ki_2020
KIT3W3RAR4,KIT3W3RA,Ki056,T3,Ki,W3,W3d,RA,W3_RA,Y2020,T3_W3d,T3_Ki,T3_RA,T3_W3_RA,T3_W3,Dry,Ki_2020
KIT3W3RHR1,KIT3W3RH,Ki057,T3,Ki,W3,W3a,RH,W3_RH,Y2020,T3_W3a,T3_Ki,T3_RH,T3_W3_RH,T3_W3,Dry,Ki_2020
KiT3W3RHR2,KIT3W3RH,Ki058,T3,Ki,W3,W3b,RH,W3_RH,Y2020,T3_W3b,T3_Ki,T3_RH,T3_W3_RH,T3_W3,Dry,Ki_2020
KIT3W3RHR3,KIT3W3RH,Ki059,T3,Ki,W3,W3c,RH,W3_RH,Y2020,T3_W3c,T3_Ki,T3_RH,T3_W3_RH,T3_W3,Dry,Ki_2020
KIT3W3RHR4,KIT3W3RH,Ki060,T3,Ki,W3,W3d,RH,W3_RH,Y2020,T3_W3d,T3_Ki,T3_RH,T3_W3_RH,T3_W3,Dry,Ki_2020
KIT3W3RPR1,KIT3W3RP,Ki061,T3,Ki,W3,W3a,RP,W3_RP,Y2020,T3_W3a,T3_Ki,T3_RP,T3_W3_RP,T3_W3,Dry,Ki_2020
KIT3W3RPR2,KIT3W3RP,Ki062,T3,Ki,W3,W3b,RP,W3_RP,Y2020,T3_W3b,T3_Ki,T3_RP,T3_W3_RP,T3_W3,Dry,Ki_2020
KIT3W3RPR3,KIT3W3RP,Ki063,T3,Ki,W3,W3c,RP,W3_RP,Y2020,T3_W3c,T3_Ki,T3_RP,T3_W3_RP,T3_W3,Dry,Ki_2020
